Name,Address,Keywords,Level of Interest,Distance (miles),ETA (min)
Stonington Kelp Co. Farm Tour,"22 Bayview Ave, Stonington, CT 06378","kelp, aquaculture, boat tour, sustainable, ocean",4,1,5
The Dinosaur Place,"1650 Hartford-New London Turnpike, Oakdale, CT 06370","animatronic dinosaurs, playground, walking trails, family fun",5,32,40
Mashantucket Pequot Museum,"110 Pequot Trail, Mashantucket, CT 06338","Native American history, museum, interactive, culture",4,13,20
Mystic Aquarium,"55 Coogan Blvd, Mystic, CT 06355","aquarium, beluga whales, sea lions, touch tanks, family",1,7,15
Mystic Seaport Museum,"75 Greenmanville Ave, Mystic, CT 06355","maritime, ships, history, hands-on, family",3,7,15
Ocean Beach Park,"98 Neptune Ave, New London, CT 06320","beach, boardwalk, mini golf, arcade, water park",4,15,25
Block Island (Ferry & Island Tour),"304 Great Island Rd, Narragansett, RI 02882","island, ferry, beaches, lighthouses, bikes, family adventure",5,38,50
Connecticut Science Center,"250 Columbus Blvd, Hartford, CT 06103","science, interactive, hands-on, family, STEM",4,60,70
The Adventure Park at Storrs,"2007 Storrs Rd, Storrs, CT 06268","zipline, ropes course, outdoor, family",2,50,60
Roger Williams Park Zoo,"1000 Elmwood Ave, Providence, RI 02907","zoo, animals, playground, family",4,50,60
Children Museum of SE Connecticut,"409 Main St, Niantic, CT 06357","children’s museum, interactive, play, learning, ages 1-10",4,18,25
Gillette Castle State Park,"67 River Rd, East Haddam, CT 06423","castle, history, architecture, river, family",5,35,45
Battleship Cove,"5 Water St, Fall River, MA 02721","battleships, submarines, naval history, museum",4,70,80
Napatree Point Conservation Area,"33 Bay St, Westerly, RI 02891","beach, nature, walking, wildlife, less crowded, scenic",4,10,20
Harkness Memorial State Park,"275 Great Neck Rd, Waterford, CT 06385","beach, gardens, mansion, picnic, scenic, less crowded",4,18,25
Biomes Marine Biology Center,"6640 Post Rd, North Kingstown, RI 02852","marine life, touch tanks, aquarium, hands-on, family",4,36,40
East Matunuck State Beach,"950 Succotash Rd, South Kingstown, RI 02879","beach, ocean, less crowded, family, scenic",4,36,40
Mystic Whaler Cruises,"35 Water St, New London, CT 06320","sailing, boat tour, family, adventure, historic",4,13,25
Avery Point Lighthouse & UConn Avery Point,"1084 Shennecossett Rd, Groton, CT 06340","lighthouse, ocean views, walking, family, scenic",3,10,20
Adventureland Family Fun Park,"Point Judith Rd, Narragansett, RI 02882","mini-golf, go-karts, bumper boats, arcade, family",4,36,40
